target,x,y,d1,d2
take,The signing of the documents normally takes place at Rideau Hall,The signing of the documents normally took place at Rideau Hall,The signing of the documents will normally take place at Rideau Hall,The signing of the documents would normally take place at Rideau Hall
grow,We grow food here,We grew food here,We will grow food here,We would grow food here
meet,Presentation Dynamism in XML Functional Programming meets SMIL Animation,Presentation Dynamism in XML Functional Programming met SMIL Animation,Presentation Dynamism in XML Functional Programming will meet SMIL Animation,Presentation Dynamism in XML Functional Programming would meet SMIL Animation
set,Atom-smasher sets record energy levels CERN,Atom-smasher set record energy levels CERN,Atom-smasher will set record energy levels CERN,Atom-smasher would set record energy levels CERN
learn,Georgina learns the truth about Noah,Georgina learned the truth about Noah,Georgina will learn the truth about Noah,Georgina would learn the truth about Noah
support,He also proudly supports the Montréal start-up scene,He also proudly supported the Montréal start-up scene,He will also proudly support the Montréal start-up scene,He would also proudly support the Montréal start-up scene
serve,He also serves as our CPD director,He also served as our CPD director,He will also serve as our CPD director,He would also serve as our CPD director
remain,That remains the position,That remained the position,That will remain the position,That would remain the position
seem,Some of the recipes seem exotic,Some of the recipes seemed exotic,Some of the recipes will seem exotic,Some of the recipes would seem exotic
keep,The copper mug keeps it nice and cold,The copper mug kept it nice and cold,The copper mug will keep it nice and cold,The copper mug would keep it nice and cold
ask,I ask,I asked,I will ask,I would ask
begin,The outcry begins anew,The outcry began anew,The outcry will begin anew,The outcry would begin anew
leave,That clock leaves no room for absurdity,That clock left no room for absurdity,That clock will leave no room for absurdity,That clock would leave no room for absurdity
understand,No one understands his motivations,No one understood his motivations,No one will understand his motivations,No one would understand his motivations
turn,They turn on you,They turned on you,They will turn on you,They would turn on you
support,I support a Burnaby Mountain Gondola,I supported a Burnaby Mountain Gondola,I will support a Burnaby Mountain Gondola,I would support a Burnaby Mountain Gondola
write,Al Kamen writes for the Washington Post,Al Kamen wrote for the Washington Post,Al Kamen will write for the Washington Post,Al Kamen would write for the Washington Post
lead,He leads Moberg through his yard,He led Moberg through his yard,He will lead Moberg through his yard,He would lead Moberg through his yard
have,We have the following,We had the following,We will have the following,We would have the following
increase,Time Savings – Fiber lasers increase throughput speeds,Time Savings – Fiber lasers increased throughput speeds,Time Savings – Fiber lasers will increase throughput speeds,Time Savings – Fiber lasers would increase throughput speeds
know,Paul knows his stuff,Paul knew his stuff,Paul will know his stuff,Paul would know his stuff
let,The Forth Projects venue unfortunately lets the show down,The Forth Projects venue unfortunately let the show down,The Forth Projects venue unfortunately will let the show down,The Forth Projects venue unfortunately would let the show down
play,Today an inventive mind plays with building blocks,Today an inventive mind played with building blocks,Today an inventive mind will play with building blocks,Today an inventive mind would play with building blocks
seem,You seem very intelligent,You seemed very intelligent,You will seem very intelligent,You would seem very intelligent
get,One gets the idea,One got the idea,One will get the idea,One would get the idea
offer,We also offer short 12 week modules,We also offered short 12 week modules,We will also offer short 12 week modules,We would also offer short 12 week modules
love,Jesus loves me,Jesus loved me,Jesus will love me,Jesus would love me
give,BFA gives you a financing edge,BFA gave you a financing edge,BFA will give you a financing edge,BFA would give you a financing edge
grow,Risk management never grows old,Risk management never grew old,Risk management will never grow old,Risk management would never grow old
call,The crew calls her Lady Silence,The crew called her Lady Silence,The crew will call her Lady Silence,The crew would call her Lady Silence
create,Every discourse however creates its own limitations,Every discourse however created its own limitations,Every discourse however will create its own limitations,Every discourse however would create its own limitations
pay,I pay close attention to stamps,I paid close attention to stamps,I will pay close attention to stamps,I would pay close attention to stamps
leave,The numbers leave no doubt,The numbers left no doubt,The numbers will leave no doubt,The numbers would leave no doubt
change,The company officially changes its name to XEcom Inc,The company officially changed its name to XEcom Inc,The company will officially change its name to XEcom Inc,The company would officially change its name to XEcom Inc
provide,The archival material provides fascinating insights,The archival material provided fascinating insights,The archival material will provide fascinating insights,The archival material would provide fascinating insights
feel,The city feels festive joyful,The city felt festive joyful,The city will feel festive joyful,The city would feel festive joyful
tell,Census data also tell a broader story,Census data also told a broader story,Census data will also tell a broader story,Census data would also tell a broader story
lose,Today we lose weight,Today we lost weight,Today we will lose weight,Today we would lose weight
have,This approach has several advantages,This approach had several advantages,This approach will have several advantages,This approach would have several advantages
set,CIT Chemical Engineering sets up a LinkedIn group,CIT Chemical Engineering set up a LinkedIn group,CIT Chemical Engineering will set up a LinkedIn group,CIT Chemical Engineering would set up a LinkedIn group
bring,They bring ceremony to it,They brought ceremony to it,They will bring ceremony to it,They would bring ceremony to it
believe,He believes Shahak,He believed Shahak,He will believe Shahak,He would believe Shahak
create,The higher costs and longer timelines create two significant problems,The higher costs and longer timelines created two significant problems,The higher costs and longer timelines will create two significant problems,The higher costs and longer timelines would create two significant problems
grow,The TAZ grows up,The TAZ grew up,The TAZ will grow up,The TAZ would grow up
know,The enlightened righteous man knows God and his wisdom,The enlightened righteous man knew God and his wisdom,The enlightened righteous man will know God and his wisdom,The enlightened righteous man would know God and his wisdom
be,The categories are not rigid,The categories were not rigid,The categories will not be rigid,The categories would not be rigid
offer,The Art Institute of Pittsburgh offers online programmes in Art,The Art Institute of Pittsburgh offered online programmes in Art,The Art Institute of Pittsburgh will offer online programmes in Art,The Art Institute of Pittsburgh would offer online programmes in Art
love,Everyone loves open space,Everyone loved open space,Everyone will love open space,Everyone would love open space
follow,It always follows the day after Halloween,It always followed the day after Halloween,It will always follow the day after Halloween,It would always follow the day after Halloween
know,No one really knows,No one really knew,No one will really know,No one would really know
grow,Huawei grows in multiple countries,Huawei grew in multiple countries,Huawei will grow in multiple countries,Huawei would grow in multiple countries
hold,The following holds for server 16,The following held for server 16,The following will hold for server 16,The following would hold for server 16
seem,They seem fine,They seemed fine,They will seem fine,They would seem fine
begin,The future always begins right now,The future always began right now,The future always will begin right now,The future always would begin right now
have,This precomputation of the model has certain performance benefits,This precomputation of the model had certain performance benefits,This precomputation of the model will have certain performance benefits,This precomputation of the model would have certain performance benefits
appear,The simulation results appear in Figure 3,The simulation results appeared in Figure 3,The simulation results will appear in Figure 3,The simulation results would appear in Figure 3
offer,It offers simple student-friendly accommodation,It offered simple student-friendly accommodation,It will offer simple student-friendly accommodation,It would offer simple student-friendly accommodation
turn,A full press on the switch turns it off,A full press on the switch turned it off,A full press on the switch will turn it off,A full press on the switch would turn it off
want,You want proof?,You wanted proof?,You will want proof?,You would want proof?
need,The Render implementation needs major work,The Render implementation needed major work,The Render implementation will need major work,The Render implementation would need major work
hear,BOOM Matt hears his own weapon discharge,BOOM Matt heard his own weapon discharge,BOOM Matt will hear his own weapon discharge,BOOM Matt would hear his own weapon discharge
seem,The case seems indisputable,The case seemed indisputable,The case will seem indisputable,The case would seem indisputable
increase,This also increases the need for vitamin C,This also increased the need for vitamin C,This will also increase the need for vitamin C,This would also increase the need for vitamin C
increase,The pace of its production increases exponentially each year,The pace of its production increased exponentially each year,The pace of its production will increase exponentially each year,The pace of its production would increase exponentially each year
include,The tour also includes five branches,The tour also included five branches,The tour will also include five branches,The tour would also include five branches
mean,They mean exactly nothing,They meant exactly nothing,They will mean exactly nothing,They would mean exactly nothing
look,A general purpose context switch looks like this,A general purpose context switch looked like this,A general purpose context switch will look like this,A general purpose context switch would look like this
have,It has a basic two-level structure,It had a basic two-level structure,It will have a basic two-level structure,It would have a basic two-level structure
start,The course starts on 28 January 2020,The course started on 28 January 2020,The course will start on 28 January 2020,The course would start on 28 January 2020
remain,All programs and course offerings remain the same,All programs and course offerings remained the same,All programs and course offerings will remain the same,All programs and course offerings would remain the same
develop,Pre-eclampsia usually develops after 20 weeks,Pre-eclampsia usually developed after 20 weeks,Pre-eclampsia will usually develop after 20 weeks,Pre-eclampsia would usually develop after 20 weeks
have,We have altogether 24 features,We had altogether 24 features,We will have altogether 24 features,We would have altogether 24 features
love,This person loves it so much,This person loved it so much,This person will love it so much,This person would love it so much
tell,This book tells us how,This book told us how,This book will tell us how,This book would tell us how
make,This makes the game more difficult,This made the game more difficult,This will make the game more difficult,This would make the game more difficult
hear,Today you hear people ridicule phlogiston,Today you heard people ridicule phlogiston,Today you will hear people ridicule phlogiston,Today you would hear people ridicule phlogiston
need,We also need you,We also needed you,We will also need you,We would also need you
begin,The position begins in January 2021,The position began in January 2021,The position will begin in January 2021,The position would begin in January 2021
do,It does so in two ways,It did so in two ways,It will do so in two ways,It would do so in two ways
know,We know innovative housing solutions,We knew innovative housing solutions,We will know innovative housing solutions,We would know innovative housing solutions
put,Today Mother Earth puts on a human face,Today Mother Earth put on a human face,Today Mother Earth will put on a human face,Today Mother Earth would put on a human face
think,He thinks through all the details,He thought through all the details,He will think through all the details,He would think through all the details
start,April starts nicely,April started nicely,April will start nicely,April would start nicely
turn,A large number turn themselves in,A large number turned themselves in,A large number will turn themselves in,A large number would turn themselves in
call,Burns calls himself an emotional archeologist,Burns called himself an emotional archeologist,Burns will call himself an emotional archeologist,Burns would call himself an emotional archeologist
lose,Some just lose more than others,Some just lost more than others,Some will just lose more than others,Some would just lose more than others
show,The figure shows a 3D histogram,The figure showed a 3D histogram,The figure will show a 3D histogram,The figure would show a 3D histogram
give,It gives us perspective,It gave us perspective,It will give us perspective,It would give us perspective
turn,Tim turns to Ahmed,Tim turned to Ahmed,Tim will turn to Ahmed,Tim would turn to Ahmed
work,This method works well with simple pages,This method worked well with simple pages,This method will work well with simple pages,This method would work well with simple pages
continue,The sorry tale continues in California,The sorry tale continued in California,The sorry tale will continue in California,The sorry tale would continue in California
work,Today Bowen works as a motivational speaker,Today Bowen worked as a motivational speaker,Today Bowen will work as a motivational speaker,Today Bowen would work as a motivational speaker
feel,You automatically feel a sense of warmth,You automatically felt a sense of warmth,You automatically will feel a sense of warmth,You automatically would feel a sense of warmth
show,This drawing shows the execution,This drawing showed the execution,This drawing will show the execution,This drawing would show the execution
help,You help people,You helped people,You will help people,You would help people
make,This makes the images hot spots,This made the images hot spots,This will make the images hot spots,This would make the images hot spots
play,The military-industrial-Congressional complex plays its role,The military-industrial-Congressional complex played its role,The military-industrial-Congressional complex will play its role,The military-industrial-Congressional complex would play its role
give,They give mechanics a good name,They gave mechanics a good name,They will give mechanics a good name,They would give mechanics a good name
see,He sees the future,He saw the future,He will see the future,He would see the future
call,Lowenthal calls it heritage,Lowenthal called it heritage,Lowenthal will call it heritage,Lowenthal would call it heritage
find,Shane finds a fossil,Shane found a fossil,Shane will find a fossil,Shane would find a fossil
meet,Historian or Anthropologist? Darnton meets Geertz,Historian or Anthropologist? Darnton met Geertz,Historian or Anthropologist? Darnton will meet Geertz,Historian or Anthropologist? Darnton would meet Geertz
mean,I mean it,I meant it,I will mean it,I would mean it
ask,he finally asks,he finally asked,he will finally ask,he would finally ask
be,I am very grateful,I was very grateful,I will be very grateful,I would be very grateful
appear,A permanent link appears further down the page,A permanent link appeared further down the page,A permanent link will appear further down the page,A permanent link would appear further down the page
go,It goes very slowly,It went very slowly,It will go very slowly,It would go very slowly
lose,Doctor loses suspension challenge,Doctor lost suspension challenge,Doctor will lose suspension challenge,Doctor would lose suspension challenge
come,They come with a price,They came with a price,They will come with a price,They would come with a price
help,The new Genero environment helps,The new Genero environment helped,The new Genero environment will help,The new Genero environment would help
include,This tree includes three types of nodes,This tree included three types of nodes,This tree will include three types of nodes,This tree would include three types of nodes
understand,You understand this,You understood this,You will understand this,You would understand this
have,TextVideo Objects normally have lower decoration value,TextVideo Objects normally had lower decoration value,TextVideo Objects will normally have lower decoration value,TextVideo Objects would normally have lower decoration value
create,Money creates responsibility,Money created responsibility,Money will create responsibility,Money would create responsibility
run,They run on 15-25 watts,They ran on 15-25 watts,They will run on 15-25 watts,They would run on 15-25 watts
increase,It increases risk,It increased risk,It will increase risk,It would increase risk
know,I know it,I knew it,I will know it,I would know it
learn,The emotionally intelligent person learns from each negative emotion,The emotionally intelligent person learned from each negative emotion,The emotionally intelligent person will learn from each negative emotion,The emotionally intelligent person would learn from each negative emotion
receive,The college receives notification on SEVIS,The college received notification on SEVIS,The college will receive notification on SEVIS,The college would receive notification on SEVIS
know,I know little about them,I knew little about them,I will know little about them,I would know little about them
lose,The Mayor loses 5 rankings,The Mayor lost 5 rankings,The Mayor will lose 5 rankings,The Mayor would lose 5 rankings
lead,A good machine leads the eye accurately,A good machine led the eye accurately,A good machine will lead the eye accurately,A good machine would lead the eye accurately
know,I know thee not,I knew thee not,I will know thee not,I would know thee not
bring,An automated solution that brings down operational costs,An automated solution that brought down operational costs,An automated solution that will bring down operational costs,An automated solution that would bring down operational costs
get,Everyone gets his entertainment this way,Everyone got his entertainment this way,Everyone will get his entertainment this way,Everyone would get his entertainment this way
want,Everybody wants him on their team,Everybody wanted him on their team,Everybody will want him on their team,Everybody would want him on their team
turn,Today a tall tale turns into dangerous reality,Today a tall tale turned into dangerous reality,Today a tall tale will turn into dangerous reality,Today a tall tale would turn into dangerous reality
become,Wilson High School becomes Manor High School,Wilson High School became Manor High School,Wilson High School will become Manor High School,Wilson High School would become Manor High School
look,It looks like a natural park,It looked like a natural park,It will look like a natural park,It would look like a natural park
ask,They ask all sorts of questions,They asked all sorts of questions,They will ask all sorts of questions,They would ask all sorts of questions
remain,September 25 The sky remains clear,September 25 The sky remained clear,September 25 The sky will remain clear,September 25 The sky would remain clear
make,This makes the platform more robust,This made the platform more robust,This will make the platform more robust,This would make the platform more robust
receive,The public occasionally receives glimpses into archival matters,The public occasionally received glimpses into archival matters,The public will occasionally receive glimpses into archival matters,The public would occasionally receive glimpses into archival matters
move,The man nearby moves quietly,The man nearby moved quietly,The man nearby will move quietly,The man nearby would move quietly
continue,Bias against women continues,Bias against women continued,Bias against women will continue,Bias against women would continue
bring,Spending time with them brings me the greatest joy,Spending time with them brought me the greatest joy,Spending time with them will bring me the greatest joy,Spending time with them would bring me the greatest joy
like,The group likes variety,The group liked variety,The group will like variety,The group would like variety
meet,Today an old technology meets a new one,Today an old technology met a new one,Today an old technology will meet a new one,Today an old technology would meet a new one
give,He never gives up,He never gave up,He will never give up,He would never give up
feel,I feel the pain,I felt the pain,I will feel the pain,I would feel the pain
change,Today Schrödinger's Cat changes our view of science,Today Schrödinger's Cat changed our view of science,Today Schrödinger's Cat will change our view of science,Today Schrödinger's Cat would change our view of science
want,I want a body count,I wanted a body count,I will want a body count,I would want a body count
tell,Historian Louis Warren tells a different story,Historian Louis Warren told a different story,Historian Louis Warren will tell a different story,Historian Louis Warren would tell a different story
offer,We no longer offer lottery number results,We no longer offered lottery number results,We will no longer offer lottery number results,We would no longer offer lottery number results
keep,A battery that keeps up with your productivity,A battery that kept up with your productivity,A battery that will keep up with your productivity,A battery that would keep up with your productivity
offer,Europe offers smart-growth advocates little comfort,Europe offered smart-growth advocates little comfort,Europe will offer smart-growth advocates little comfort,Europe would offer smart-growth advocates little comfort
base,Darby bases this on Matthew 24,Darby based this on Matthew 24,Darby will base this on Matthew 24,Darby would base this on Matthew 24
love,We love you little one,We loved you little one,We will love you little one,We would love you little one
set,Japan sets 20-year goals,Japan set 20-year goals,Japan will set 20-year goals,Japan would set 20-year goals
know,No one knows the exact figure,No one knew the exact figure,No one will know the exact figure,No one would know the exact figure
require,Backflow prevention device requires annual inspection,Backflow prevention device required annual inspection,Backflow prevention device will require annual inspection,Backflow prevention device would require annual inspection
bring,An atmosphere of mutual aid brings much to the group,An atmosphere of mutual aid brought much to the group,An atmosphere of mutual aid will bring much to the group,An atmosphere of mutual aid would bring much to the group
have,It also has good portability,It also had good portability,It will also have good portability,It would also have good portability
consider,We first consider the Intranet results,We first considered the Intranet results,We will first consider the Intranet results,We would first consider the Intranet results
serve,Distortion of history serves no one,Distortion of history served no one,Distortion of history will serve no one,Distortion of history would serve no one
happen,Fax-Over-IP transmission happens in 2 modes,Fax-Over-IP transmission happened in 2 modes,Fax-Over-IP transmission will happen in 2 modes,Fax-Over-IP transmission would happen in 2 modes
play,The performance impact of proxy servers plays an important role,The performance impact of proxy servers played an important role,The performance impact of proxy servers will play an important role,The performance impact of proxy servers would play an important role
show,Figure 2b shows the results for LUBM2,Figure 2b showed the results for LUBM2,Figure 2b will show the results for LUBM2,Figure 2b would show the results for LUBM2
become,Reagan once a divider becomes a feel-good leader,Reagan once a divider became a feel-good leader,Reagan once a divider will become a feel-good leader,Reagan once a divider would become a feel-good leader
hold,Evonne holds an M,Evonne held an M,Evonne will hold an M,Evonne would hold an M
remain,Mr Aghajari remains in prison,Mr Aghajari remained in prison,Mr Aghajari will remain in prison,Mr Aghajari would remain in prison
remain,The black unemployment rate remains twice that of whites,The black unemployment rate remained twice that of whites,The black unemployment rate will remain twice that of whites,The black unemployment rate would remain twice that of whites
turn,Web page addresses and e-mail addresses turn into links automatically,Web page addresses and e-mail addresses turned into links automatically,Web page addresses and e-mail addresses will turn into links automatically,Web page addresses and e-mail addresses would turn into links automatically
try,Amanda tries again,Amanda tried again,Amanda will try again,Amanda would try again
make,This makes the platform more scalable,This made the platform more scalable,This will make the platform more scalable,This would make the platform more scalable
read,The petition reads in part,The petition read in part,The petition will read in part,The petition would read in part
run,The system runs on Debian unstable,The system ran on Debian unstable,The system will run on Debian unstable,The system would run on Debian unstable
play,Bayern plays in the Bundesliga,Bayern played in the Bundesliga,Bayern will play in the Bundesliga,Bayern would play in the Bundesliga
know,Emmanuelle Gattuso's dynamism knows no bounds,Emmanuelle Gattuso's dynamism knew no bounds,Emmanuelle Gattuso's dynamism will know no bounds,Emmanuelle Gattuso's dynamism would know no bounds
put,This opposition puts lives at risk,This opposition put lives at risk,This opposition will put lives at risk,This opposition would put lives at risk
make,It makes me comfortable,It made me comfortable,It will make me comfortable,It would make me comfortable
move,Norman moves on,Norman moved on,Norman will move on,Norman would move on
put,He always puts the patient first,He always put the patient first,He will always put the patient first,He would always put the patient first
understand,It understands a few different formats,It understood a few different formats,It will understand a few different formats,It would understand a few different formats
feel,It feels like a revelation,It felt like a revelation,It will feel like a revelation,It would feel like a revelation
serve,This serves two purpose,This served two purpose,This will serve two purpose,This would serve two purpose
set,Dizziness sets in,Dizziness set in,Dizziness will set in,Dizziness would set in
change,A small mistake that changes the entire sentence,A small mistake that changed the entire sentence,A small mistake that will change the entire sentence,A small mistake that would change the entire sentence
continue,The report continues,The report continued,The report will continue,The report would continue
hold,God holds both,God held both,God will hold both,God would hold both
like,I like it up there,I liked it up there,I will like it up there,I would like it up there
understand,Nobody understands value better than auctioneers,Nobody understood value better than auctioneers,Nobody will understand value better than auctioneers,Nobody would understand value better than auctioneers
be,I am an artist,I was an artist,I will be an artist,I would be an artist
send,The endpoint sends a message,The endpoint sent a message,The endpoint will send a message,The endpoint would send a message
see,David Kennedy sees hazard in US military-civilian gap,David Kennedy saw hazard in US military-civilian gap,David Kennedy will see hazard in US military-civilian gap,David Kennedy would see hazard in US military-civilian gap
offer,TBN offers city walks and country hikes,TBN offered city walks and country hikes,TBN will offer city walks and country hikes,TBN would offer city walks and country hikes
believe,We believe in free markets,We believed in free markets,We will believe in free markets,We would believe in free markets
hold,Gustavo Padovan holds a BSc,Gustavo Padovan held a BSc,Gustavo Padovan will hold a BSc,Gustavo Padovan would hold a BSc
live,You only live once right?,You only lived once right?,You will only live once right?,You would only live once right?
grow,Coronavirus US economy grows at record rate,Coronavirus US economy grew at record rate,Coronavirus US economy will grow at record rate,Coronavirus US economy would grow at record rate
like,Nobody there likes the teenager,Nobody there liked the teenager,Nobody there will like the teenager,Nobody there would like the teenager
get,This area gets image intensive,This area got image intensive,This area will get image intensive,This area would get image intensive
be,Taxis - Fares are comparatively low,Taxis - Fares were comparatively low,Taxis - Fares will be comparatively low,Taxis - Fares would be comparatively low
think,Faubert thinks they ought to,Faubert thought they ought to,Faubert will think they ought to,Faubert would think they ought to
increase,Reading together increases vocabulary and general knowledge,Reading together increased vocabulary and general knowledge,Reading together will increase vocabulary and general knowledge,Reading together would increase vocabulary and general knowledge
accord,Each color accords its plasma temperature,Each color accorded its plasma temperature,Each color will accord its plasma temperature,Each color would accord its plasma temperature
know,This light knows no limits or boundaries,This light knew no limits or boundaries,This light will know no limits or boundaries,This light would know no limits or boundaries
remain,You always remain anonymous,You always remained anonymous,You will always remain anonymous,You would always remain anonymous
support,I strongly support these comments,I strongly supported these comments,I will strongly support these comments,I would strongly support these comments
grow,A strange darkness grows in Allward,A strange darkness grew in Allward,A strange darkness will grow in Allward,A strange darkness would grow in Allward
see,Today however he sees things very differently,Today however he saw things very differently,Today however he will see things very differently,Today however he would see things very differently
begin,The great work begins,The great work began,The great work will begin,The great work would begin
learn,Every day someone new learns about the Kennedy assassination,Every day someone new learned about the Kennedy assassination,Every day someone new will learn about the Kennedy assassination,Every day someone new would learn about the Kennedy assassination
run,It runs from 25,It ran from 25,It will run from 25,It would run from 25
call,Mr Rigg in his new book calls this assumption into question,Mr Rigg in his new book called this assumption into question,Mr Rigg in his new book will call this assumption into question,Mr Rigg in his new book would call this assumption into question
show,Record accounts show all this evolution,Record accounts showed all this evolution,Record accounts will show all this evolution,Record accounts would show all this evolution
show,The above examples show Naomi Wolf's illogical argumentation,The above examples showed Naomi Wolf's illogical argumentation,The above examples will show Naomi Wolf's illogical argumentation,The above examples would show Naomi Wolf's illogical argumentation
be,I am happy,I was happy,I will be happy,I would be happy
move,It only moves upstream,It only moved upstream,It will only move upstream,It would only move upstream
tell,Every photo tells its own story,Every photo told its own story,Every photo will tell its own story,Every photo would tell its own story
consider,The Administration considers data protection critically important,The Administration considered data protection critically important,The Administration will consider data protection critically important,The Administration would consider data protection critically important
mean,An undue hardship means more than mere inconvenience,An undue hardship meant more than mere inconvenience,An undue hardship will mean more than mere inconvenience,An undue hardship would mean more than mere inconvenience
hear,I hear ya,I heard ya,I will hear ya,I would hear ya
leave,Today the artifacts still leave people dumbstruck,Today the artifacts still left people dumbstruck,Today the artifacts will still leave people dumbstruck,Today the artifacts would still leave people dumbstruck
send,Dad sends best wishes,Dad sent best wishes,Dad will send best wishes,Dad would send best wishes
work,This time it works out perfectly,This time it worked out perfectly,This time it will work out perfectly,This time it would work out perfectly
read,This 700-page sampling of PWA works reads like my personal scrapbook,This 700-page sampling of PWA works read like my personal scrapbook,This 700-page sampling of PWA works will read like my personal scrapbook,This 700-page sampling of PWA works would read like my personal scrapbook
need,Agriculture and rural communities need strong leaders,Agriculture and rural communities needed strong leaders,Agriculture and rural communities will need strong leaders,Agriculture and rural communities would need strong leaders
require,This requires a number of steps,This required a number of steps,This will require a number of steps,This would require a number of steps
find,Justin finds something interesting,Justin found something interesting,Justin will find something interesting,Justin would find something interesting
live,A lot of my dad's relatives live in Newfoundland,A lot of my dad's relatives lived in Newfoundland,A lot of my dad's relatives will live in Newfoundland,A lot of my dad's relatives would live in Newfoundland
make,This makes you money for upgrades,This made you money for upgrades,This will make you money for upgrades,This would make you money for upgrades
put,The report puts it this way,The report put it this way,The report will put it this way,The report would put it this way
allow,CDC allows for alternative solutions,CDC allowed for alternative solutions,CDC will allow for alternative solutions,CDC would allow for alternative solutions
live,I live in Hope Arkansas,I lived in Hope Arkansas,I will live in Hope Arkansas,I would live in Hope Arkansas
work,Btw the shuttle Ecotrac still works this year,Btw the shuttle Ecotrac still worked this year,Btw the shuttle Ecotrac will still work this year,Btw the shuttle Ecotrac would still work this year
hear,America hears you,America heard you,America will hear you,America would hear you
look,The tall hatchback body looks crisp and modern,The tall hatchback body looked crisp and modern,The tall hatchback body will look crisp and modern,The tall hatchback body would look crisp and modern
hold,Library Books hold uniqe Barcodes,Library Books held uniqe Barcodes,Library Books will hold uniqe Barcodes,Library Books would hold uniqe Barcodes
get,The US Senate gets the message,The US Senate got the message,The US Senate will get the message,The US Senate would get the message
begin,It begins with our ruling institutions,It began with our ruling institutions,It will begin with our ruling institutions,It would begin with our ruling institutions
believe,Bundy believes all of this,Bundy believed all of this,Bundy will believe all of this,Bundy would believe all of this
believe,I believe in that,I believed in that,I will believe in that,I would believe in that
support,It also supports grassroots justice movements,It also supported grassroots justice movements,It will also support grassroots justice movements,It would also support grassroots justice movements
pay,No American Holocaust museum pays homage to their tragedy,No American Holocaust museum paid homage to their tragedy,No American Holocaust museum will pay homage to their tragedy,No American Holocaust museum would pay homage to their tragedy
feel,Write whatever feels right,Write whatever felt right,Write whatever will feel right,Write whatever would feel right
meet,Tech tools meet talent,Tech tools met talent,Tech tools will meet talent,Tech tools would meet talent
hold,I hold them in great esteem,I held them in great esteem,I will hold them in great esteem,I would hold them in great esteem
feel,it just feels good like poetry,it just felt good like poetry,it will just feel good like poetry,it would just feel good like poetry
add,The scarf adds a splash of red,The scarf added a splash of red,The scarf will add a splash of red,The scarf would add a splash of red
serve,The Green Line also serves some impoverished areas,The Green Line also served some impoverished areas,The Green Line will also serve some impoverished areas,The Green Line would also serve some impoverished areas
remain,All residences remain open and operational,All residences remained open and operational,All residences will remain open and operational,All residences would remain open and operational
grow,East Asia grows daily in importance,East Asia grew daily in importance,East Asia will grow daily in importance,East Asia would grow daily in importance
consider,Seattle actor Megan Cole considers a necessary partnership,Seattle actor Megan Cole considered a necessary partnership,Seattle actor Megan Cole will consider a necessary partnership,Seattle actor Megan Cole would consider a necessary partnership
change,History never changes,History never changed,History will never change,History would never change
change,Something that changes your life,Something that changed your life,Something that will change your life,Something that would change your life
base,I base this on nothing whatsoever,I based this on nothing whatsoever,I will base this on nothing whatsoever,I would base this on nothing whatsoever
put,The attitude of the staff immediately puts you at ease,The attitude of the staff immediately put you at ease,The attitude of the staff will immediately put you at ease,The attitude of the staff would immediately put you at ease
come,The offers come directly through us,The offers came directly through us,The offers will come directly through us,The offers would come directly through us
be,Submission requirements for Panel proposals are available here,Submission requirements for Panel proposals were available here,Submission requirements for Panel proposals will be available here,Submission requirements for Panel proposals would be available here
like,She also likes English horseback riding,She also liked English horseback riding,She will also like English horseback riding,She would also like English horseback riding
